Species,Maturity_Length_cm,Source_URL
Sardinella longiceps,16.3,https://www.fishbase.se/summary/Sardinella-longiceps.html
Rastrelliger kanagurta,21.0,https://www.fishbase.se/summary/Rastrelliger-kanagurta.html
Decapterus russelli,16.1,https://www.fishbase.se/summary/Decapterus-russelli.html
Trichiurus lepturus,50.6,https://www.fishbase.se/summary/Trichiurus-lepturus
Scomberomorus commerson,75.2,https://fishbase.se/summary/SpeciesSummary.php?id=121
Euthynnus affinis,42.3,https://www.fishbase.se/Summary/SpeciesSummary.php?id=96&lang=spanish
Sardinella fimbriata,12.3,https://www.fishbase.se/summary/Sardinella-fimbriata
