Year,State,Landings_Tonnes,Source_URL
2024,Tamil Nadu,678521,https://www.cmfri.org.in/state2024
2013,West Bengal,261502,https://www.cmfri.org.in/state2013
2014,West Bengal,76536,https://www.cmfri.org.in/state2014
2015,West Bengal,118650,https://www.cmfri.org.in/state2015
2016,West Bengal,271712,https://www.cmfri.org.in/state2016
2017,West Bengal,361474,https://www.cmfri.org.in/state2017
2018,West Bengal,159977,https://www.cmfri.org.in/state2018
2019,West Bengal,248820,https://www.cmfri.org.in/state2019
2020,West Bengal,260199,https://www.cmfri.org.in/state2020
2021,West Bengal,136938,https://www.cmfri.org.in/state2021
2022,West Bengal,189544,https://www.cmfri.org.in/state2022
2023,West Bengal,172942,https://www.cmfri.org.in/state2023
2024,West Bengal,233148,https://www.cmfri.org.in/state2024
